"job_id","job_title_short","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
155094,"Data Analyst","Machelen, Belgium","Full-time","165000.0","2023-07-26 17:12:05","Devoteam"
280829,"Data Analyst","Machelen, Belgium","Full-time","165000.0","2023-08-03 15:29:20","Devoteam"
53650,"Data Analyst","Brussels, Belgium","Full-time","165000.0","2023-01-18 06:27:33","Blue Harvest"
88304,"Data Analyst","Zaventem, Belgium","Full-time","165000.0","2023-07-12 07:50:13","Devoteam"
539907,"Data Analyst","Anderlecht, Belgium","Full-time","163782.0","2023-06-22 17:55:14","Ypto"
250812,"Data Analyst","Braine-l'Alleud, Belgium","Full-time","111175.0","2023-07-10 16:54:56","EMW, Inc."
840598,"Data Analyst","Zaventem, Belgium","Full-time","111175.0","2023-04-27 00:33:34","Devoteam"
933351,"Data Analyst","Mons, Belgium","Full-time","111175.0","2023-05-16 06:46:09","EMW, Inc."
966893,"Data Analyst","Brussels, Belgium","Full-time","89100.0","2023-04-18 14:53:55","EMW, Inc."
282708,"Data Analyst","Brussels, Belgium","Full-time","80850.0","2023-04-27 19:33:30","EMW, Inc."
